Nombre,Tiempo de Aprendizaje,Transferencia de la formacion,Retencion de conocimiento y habilidades,Impacto del rendimiento en la organizacion,Nota de evaluacion
Errol Tellwright,4 meses,Baja,Baja,Alta,65
Madelyn Rapelli,2 meses,Alta,Muy baja,Promedio,64
Sibeal Dinjes,3 meses,Baja,Muy Alta,Baja,48
Sansone Grzeszczyk,1 mes,Alta,Baja,Muy Alta,89
Horatio Aronin,1 mes,Muy Alta,Baja,Muy Alta,91
Thayne Hutcheon,1 mes,Promedio,Baja,Alta,64
Borden Shovell,3 meses,Muy baja,Muy baja,Alta,23
Evin Shapcote,1 mes,Muy baja,Muy baja,Muy baja,38
Claudia Perigoe,4 meses,Promedio,Baja,Baja,72
Glynnis Gerson,3 meses,Muy baja,Promedio,Alta,4
Hymie Penfold,2 meses,Muy Alta,Baja,Promedio,4
Alfi Danigel,2 meses,Promedio,Baja,Alta,31
Darya Escala,2 meses,Alta,Promedio,Alta,27
Lonnie Rikard,2 meses,Promedio,Baja,Alta,34
Dewain Ivanets,1 mes,Alta,Muy Alta,Muy baja,70
Mordy Coard,3 meses,Baja,Promedio,Promedio,51
Tabby Durie,1 mes,Alta,Muy baja,Promedio,3
Bernadene Jopson,4 meses,Baja,Promedio,Baja,63
Merline Grewe,3 meses,Muy Alta,Promedio,Muy Alta,43
Victoria Shrawley,2 meses,Muy Alta,Alta,Muy Alta,63
Chickie Tipling,2 meses,Baja,Promedio,Alta,55
Jeremias Macknish,3 meses,Muy Alta,Promedio,Promedio,26
Quint Faulkner,1 mes,Muy baja,Alta,Muy baja,5
Marie Dusey,3 meses,Muy Alta,Muy Alta,Promedio,24
Sisely Ogborn,1 mes,Alta,Alta,Muy baja,73
Letizia Quinlan,1 mes,Muy baja,Muy baja,Baja,6
Abie MacGowing,1 mes,Muy Alta,Muy baja,Muy Alta,72
Analiese Alejandro,2 meses,Baja,Promedio,Muy Alta,8
Ingrim Woodlands,1 mes,Promedio,Baja,Muy Alta,86
Morse Bette,4 meses,Baja,Muy Alta,Alta,47
Daisie Tweedell,2 meses,Alta,Alta,Baja,7
Garvin Cuttell,4 meses,Alta,Baja,Muy baja,86
Marice Vedishchev,3 meses,Baja,Alta,Muy baja,69
Shel Dunton,3 meses,Alta,Promedio,Alta,76
Brittne Jamieson,1 mes,Promedio,Promedio,Promedio,6
Arel Gilchrist,1 mes,Muy Alta,Muy baja,Muy baja,54
Chico Dearman,1 mes,Muy baja,Muy Alta,Alta,62
Wald Gawkroge,1 mes,Baja,Muy baja,Muy Alta,85
Tessi Joscelyn,1 mes,Muy baja,Muy Alta,Alta,87
Tilda Pittford,3 meses,Muy Alta,Promedio,Muy Alta,94
Boniface Petchey,3 meses,Baja,Baja,Alta,35
Mandi Blindermann,2 meses,Alta,Muy baja,Promedio,60
Deeyn Cosans,1 mes,Muy baja,Baja,Promedio,48
Donnell Lord,3 meses,Promedio,Muy Alta,Baja,22
Claudia McKenna,2 meses,Baja,Promedio,Alta,24
Netta Curneen,3 meses,Baja,Alta,Promedio,48
Bernarr Barenskie,3 meses,Muy baja,Alta,Promedio,50
Kenna Offell,2 meses,Alta,Alta,Baja,5
Isidro Clementel,1 mes,Promedio,Muy Alta,Muy Alta,12
Rawley Slowgrave,2 meses,Muy baja,Muy baja,Promedio,84
Reuven Fray,4 meses,Muy baja,Muy baja,Alta,80
Cherilyn Biford,4 meses,Baja,Muy baja,Baja,70
Corette Mazillius,2 meses,Promedio,Baja,Muy Alta,58
Brok Pocklington,2 meses,Muy Alta,Muy baja,Muy baja,67
Paule Thoms,4 meses,Muy Alta,Alta,Baja,50
Pierre Larking,1 mes,Promedio,Muy baja,Baja,50
Doll Fayers,4 meses,Promedio,Alta,Alta,40
Suzanna Janzen,1 mes,Baja,Baja,Muy baja,66
Lamont Vanin,2 meses,Muy baja,Baja,Baja,96
Matthiew Pilsbury,1 mes,Muy baja,Alta,Promedio,47
Yorgo Balke,2 meses,Baja,Promedio,Alta,53
Mort Infante,3 meses,Alta,Muy Alta,Muy baja,87
Allix Pobjay,3 meses,Alta,Muy Alta,Promedio,27
Issi Spreag,1 mes,Muy baja,Muy baja,Alta,8
Marika Magovern,4 meses,Promedio,Muy baja,Promedio,98
Corbie Woodnutt,3 meses,Muy baja,Muy baja,Muy baja,11
Jeanie Parman,3 meses,Promedio,Promedio,Baja,24
Quincey Grigorey,3 meses,Muy baja,Baja,Promedio,18
Cynthea Wincer,3 meses,Promedio,Muy Alta,Promedio,50
Drusilla Blaschke,3 meses,Baja,Muy Alta,Muy baja,57
Rosamond Symper,3 meses,Alta,Alta,Muy Alta,55
Oralie Gillett,1 mes,Baja,Promedio,Promedio,92
Trina Sperwell,3 meses,Muy baja,Muy baja,Muy baja,17
Patricia Satchell,3 meses,Muy baja,Muy Alta,Promedio,78
Darryl MacPaden,2 meses,Muy baja,Alta,Muy baja,22
Lotty Hornung,1 mes,Alta,Promedio,Promedio,21
Melloney Gerriet,1 mes,Promedio,Muy baja,Baja,25
Joleen Tousy,2 meses,Baja,Muy baja,Muy Alta,4
Leonid Pinck,1 mes,Muy Alta,Muy Alta,Alta,17
Cullie Shergold,1 mes,Promedio,Baja,Muy Alta,72
Shell Dearsley,3 meses,Muy baja,Muy Alta,Muy baja,73
Melisse Kleisel,4 meses,Muy Alta,Promedio,Promedio,61
Enid Francescozzi,3 meses,Promedio,Muy baja,Baja,7
Klement Marchbank,4 meses,Promedio,Alta,Promedio,79
Trent Wadham,3 meses,Muy Alta,Muy Alta,Alta,47
Dot Rigden,3 meses,Promedio,Promedio,Alta,55
Vicki Daal,2 meses,Muy baja,Muy baja,Baja,65
Crissie Desaur,3 meses,Muy baja,Muy baja,Muy baja,48
Bren Artus,1 mes,Baja,Muy Alta,Baja,93
Murry Grogono,3 meses,Muy Alta,Baja,Promedio,22
Alexi Burdikin,1 mes,Alta,Muy Alta,Muy Alta,72
Larry Karppi,1 mes,Muy baja,Promedio,Baja,42
Bonnibelle Pickavant,4 meses,Muy baja,Muy baja,Alta,45
Arvin Schwartz,4 meses,Muy baja,Muy Alta,Baja,25
Nesta Pettingill,4 meses,Alta,Baja,Muy baja,88
Elfrieda Densumbe,4 meses,Baja,Muy Alta,Alta,6
Murry Pimmocke,2 meses,Muy baja,Muy baja,Muy baja,90
Maggy Borland,1 mes,Promedio,Alta,Alta,17
Noe Greenwood,2 meses,Promedio,Muy baja,Alta,50
Vasilis Presidey,1 mes,Baja,Promedio,Alta,33
Glendon Walklate,4 meses,Muy baja,Alta,Muy Alta,99
Klara Knottley,3 meses,Alta,Baja,Muy baja,55
Dominic Berrick,3 meses,Muy Alta,Muy baja,Muy Alta,86
Ewan Glendzer,2 meses,Baja,Promedio,Baja,69
Elihu Sylvaine,1 mes,Muy baja,Muy Alta,Muy Alta,29
Morgen Wadley,2 meses,Baja,Promedio,Muy baja,47
Coleen De Rye Barrett,1 mes,Promedio,Promedio,Baja,29
